alpha,method,commit_rate,hallucination_rate,precision_commit
0.02,global_lac,0.6947368421052632,0.008421052631578947,0.9878787878787879
0.02,local_lac,0.6610526315789473,0.002105263157894737,0.9968152866242038
0.02,local_aps,0.01263157894736842,0.0,1.0
0.02,fed_dscp,0.6610526315789473,0.002105263157894737,0.9968152866242038
0.02,shrink_v2,0.68,0.00631578947368421,0.9907120743034056
0.02,cvae_cp,0.6736842105263158,0.002105263157894737,0.996875
0.02,condkde,0.6842105263157895,0.010526315789473684,0.9846153846153847
0.04,global_lac,0.7978947368421052,0.02736842105263158,0.9656992084432717
0.04,local_lac,0.6694736842105263,0.008421052631578947,0.9874213836477987
0.04,local_aps,0.06736842105263158,0.0,1.0
0.04,fed_dscp,0.6694736842105263,0.008421052631578947,0.9874213836477987
0.04,shrink_v2,0.7410526315789474,0.016842105263157894,0.9772727272727273
0.04,cvae_cp,0.7031578947368421,0.014736842105263158,0.9790419161676647
0.04,condkde,0.7789473684210526,0.029473684210526315,0.9621621621621622
0.06,global_lac,0.8252631578947368,0.037894736842105266,0.9540816326530612
0.06,local_lac,0.7536842105263157,0.035789473684210524,0.952513966480447
0.06,local_aps,0.08842105263157894,0.0,1.0
0.06,fed_dscp,0.7536842105263157,0.035789473684210524,0.952513966480447
0.06,shrink_v2,0.8105263157894737,0.04,0.9506493506493506
0.06,cvae_cp,0.7978947368421052,0.042105263157894736,0.9472295514511874
0.06,condkde,0.8315789473684211,0.04842105263157895,0.9417721518987342
0.08,global_lac,0.8378947368421052,0.042105263157894736,0.949748743718593
0.08,local_lac,0.7726315789473684,0.04421052631578947,0.9427792915531336
0.08,local_aps,0.12,0.0,1.0
0.08,fed_dscp,0.7726315789473684,0.04421052631578947,0.9427792915531336
0.08,shrink_v2,0.8357894736842105,0.05263157894736842,0.9370277078085643
0.08,cvae_cp,0.8315789473684211,0.05473684210526316,0.9341772151898734
0.08,condkde,0.8505263157894737,0.056842105263157895,0.9331683168316832
0.1,global_lac,0.8736842105263158,0.06736842105263158,0.9228915662650602
0.1,local_lac,0.8421052631578947,0.061052631578947365,0.9275
0.1,local_aps,0.15368421052631578,0.0,1.0
0.1,fed_dscp,0.8421052631578947,0.061052631578947365,0.9275
0.1,shrink_v2,0.871578947368421,0.06315789473684211,0.927536231884058
0.1,cvae_cp,0.8778947368421053,0.06315789473684211,0.9280575539568345
0.1,condkde,0.8821052631578947,0.06315789473684211,0.9284009546539379
0.12,global_lac,0.9073684210526316,0.09263157894736843,0.8979118329466357
0.12,local_lac,0.8652631578947368,0.061052631578947365,0.9294403892944039
0.12,local_aps,0.18526315789473685,0.0,1.0
0.12,fed_dscp,0.8652631578947368,0.061052631578947365,0.9294403892944039
0.12,shrink_v2,0.8842105263157894,0.06526315789473684,0.9261904761904762
